1|2026000001|C002|78.9|67.8|72.2|2.30|2026-07-13 14:49:00|100001|
2|2026000002|C017|68.9|88.8|82.8|3.30|2026-07-13 15:24:00|100004|
3|2026000002|C001|61.0|56.3|58.2|0.00|2026-07-13 15:09:00|100001|
4|2026000003|C002|51.4|85.9|72.1|2.30|2026-07-13 15:09:00|100001|
5|2026000003|C017|84.2|69.8|74.1|2.30|2026-07-13 14:32:00|100004|
6|2026000003|C001|89.3|61.4|72.6|2.30|2026-07-13 14:02:00|100001|
7|2026000004|C016|63.8|73.9|70.9|2.00|2026-07-13 14:33:00|100004|
8|2026000005|C002|97.9|56.9|73.3|2.30|2026-07-13 15:20:00|100001|
9|2026000005|C017|79.7|92.0|88.3|3.70|2026-07-13 15:10:00|100004|
10|2026000006|C016|51.9|93.3|80.9|3.00|2026-07-13 15:45:00|100004|
11|2026000006|C001|75.7|63.3|68.3|2.00|2026-07-13 15:21:00|100001|
12|2026000007|C016|76.0|87.2|83.8|3.30|2026-07-13 14:07:00|100004|
13|2026000007|C002|82.9|50.6|63.5|1.00|2026-07-13 14:31:00|100001|
14|2026000008|C002|73.5|98.5|88.5|3.70|2026-07-13 15:26:00|100001|
15|2026000008|C017|75.4|57.5|62.9|1.00|2026-07-13 15:35:00|100004|
16|2026000008|C016|95.3|70.0|77.6|2.70|2026-07-13 14:46:00|100004|
17|2026000016|C017|97.5|61.6|72.4|2.30|2026-07-13 15:46:00|100004|
18|2026000016|C016|63.8|93.1|84.3|3.30|2026-07-13 14:47:00|100004|
19|2026000017|C016|68.0|81.9|77.7|2.70|2026-07-13 15:10:00|100004|
20|2026000018|C017|90.6|94.9|93.6|4.00|2026-07-13 15:26:00|100004|
21|2026000019|C017|79.0|59.4|65.3|1.50|2026-07-13 15:20:00|100004|
22|2026000028|C016|70.5|74.2|73.1|2.30|2026-07-13 14:00:00|100004|
23|2026000028|C017|97.5|90.7|92.7|4.00|2026-07-13 15:46:00|100004|
24|2026000029|C016|76.2|70.4|72.1|2.30|2026-07-13 14:04:00|100004|
25|2026000029|C017|82.0|54.2|62.5|1.00|2026-07-13 14:47:00|100004|
26|2026000030|C017|77.3|63.3|67.5|1.50|2026-07-13 15:31:00|100004|
27|2026000030|C016|87.0|99.9|96.0|4.00|2026-07-13 14:02:00|100004|
