2026000001|林晓峰|男|2026|计算机科学与技术|13800000000|456789|
2026000002|陈宇航|男|2026|计算机科学与技术|13800000000|456789|
2026000003|黄思涵|女|2026|计算机科学与技术|13800000000|456789|
2026000004|周子轩|男|2026|计算机科学与技术|13800000000|456789|
2026000005|吴昊天|男|2026|软件工程|13800000000|456789|
2026000006|郑雨桐|女|2026|软件工程|13800000000|456789|
2026000007|孙浩宇|男|2026|软件工程|13800000000|456789|
2026000008|马晓婷|女|2026|软件工程|13800000000|456789|
2026000009|赵艺涵|女|2026|美术|13800000000|456789|
2026000010|钱一鸣|男|2026|美术|13800000000|456789|
2026000011|沈雨萱|女|2026|美术|13800000000|456789|
2026000012|韩梦琪|女|2026|美术|13800000000|456789|
2026000013|杨文博|男|2026|汉语言文学|13800000000|456789|
2026000014|朱雅婷|女|2026|汉语言文学|13800000000|456789|
2026000015|秦思源|女|2026|汉语言文学|13800000000|456789|
2026000016|许明达|男|2026|数学与应用数学|13800000000|456789|
2026000017|何雨晴|女|2026|数学与应用数学|13800000000|456789|
2026000018|吕志远|男|2026|数学与应用数学|13800000000|456789|
2026000019|施晓晨|女|2026|数学与应用数学|13800000000|456789|
2026000020|张馨月|女|2026|英语|13800000000|456789|
2026000021|孔维佳|女|2026|英语|13800000000|456789|
2026000022|曹悦然|女|2026|英语|13800000000|456789|
2026000023|严子豪|男|2026|英语|13800000000|456789|
2026000024|金正熙|男|2026|管理科学|13800000000|456789|
2026000025|魏佳琳|女|2026|管理科学|13800000000|456789|
2026000026|陶致远|男|2026|管理科学|13800000000|456789|
2026000027|姜雨萌|女|2026|管理科学|13800000000|456789|
2026000028|谢明哲|男|2026|物理学|13800000000|456789|
2026000029|苏雨桐|女|2026|物理学|13800000000|456789|
2026000030|潘昊天|男|2026|物理学|13800000000|456789|
